credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
572,France,Male,24,1,0.0,2,1,1,151460.84,0
507,Germany,Male,31,2,134237.07,1,1,1,166423.66,1
432,Spain,Male,38,7,0.0,2,1,0,150580.88,0
677,France,Female,29,3,86616.35,1,0,0,91903.9,1
662,France,Female,47,6,0.0,2,1,1,129392.75,0
710,Spain,Male,23,6,0.0,2,1,1,134188.11,0
717,France,Female,59,4,0.0,2,1,1,170528.63,0
506,Spain,Male,35,6,110046.93,2,1,0,26318.73,0
756,France,Male,60,2,0.0,1,1,1,166513.49,1
648,France,Male,34,0,0.0,1,1,1,167931.81,0
711,Germany,Male,26,9,128793.63,1,1,0,19262.05,0
713,Spain,Female,48,1,163760.82,1,0,0,157381.14,1
620,Germany,Female,25,8,141825.88,1,1,1,73857.94,1
670,Germany,Female,33,9,84521.48,2,0,1,198017.05,0
404,Germany,Female,54,4,125456.07,1,1,0,83715.66,1
760,Spain,Female,32,2,0.0,1,1,1,114565.35,0
727,Germany,Female,31,3,82729.47,2,1,0,60212.51,0
799,France,Female,63,1,110314.21,2,1,0,37464.0,1
529,France,Female,29,8,0.0,2,1,0,19842.11,0
775,Germany,Male,33,3,83501.66,2,1,0,128841.31,0
671,Germany,Female,34,6,37266.67,2,0,0,156917.12,0
465,France,Male,25,2,78247.31,2,1,1,10472.31,0
783,Spain,Female,59,9,126224.87,1,1,1,4423.63,0
787,France,Female,40,6,0.0,2,1,1,84151.98,0
650,Spain,Male,71,0,0.0,1,1,1,175380.77,0
643,Germany,Male,33,7,98630.31,2,1,1,40250.82,0
581,Germany,Male,50,2,143829.2,2,1,0,181224.24,1
761,Spain,Male,27,8,0.0,2,1,0,63297.7,0
596,Spain,Male,41,5,0.0,2,0,1,141053.85,0
719,Spain,Male,50,2,0.0,2,0,0,10772.13,0
670,France,Female,42,6,112333.63,1,1,1,65706.86,0
534,France,Female,53,7,0.0,2,1,1,80619.17,0
478,France,Female,38,4,171913.87,1,1,0,51820.87,1
595,France,Male,41,9,0.0,2,1,0,5967.09,0
629,Spain,Male,41,10,150148.51,1,0,0,6936.27,0
466,Germany,Female,56,2,111920.13,3,1,0,197634.11,1
584,France,Male,35,6,161613.94,2,1,1,148238.16,0
710,Germany,Male,58,7,170113.0,2,0,1,10494.64,0
712,France,Male,34,8,114088.32,1,1,0,92794.61,0
774,France,Male,53,4,113709.28,1,1,1,153887.93,1
610,France,Female,45,1,0.0,2,1,1,199657.46,0
704,France,Female,33,0,130499.09,2,1,1,74804.36,0
817,Germany,Female,46,0,89087.89,1,0,1,87941.85,1
656,France,Male,43,7,134919.85,1,1,0,194691.95,0
529,France,Female,31,5,0.0,2,1,0,26817.23,0
762,Germany,Female,34,8,98592.88,1,0,1,191790.29,1
675,Spain,Male,32,10,0.0,2,1,0,191545.65,0
560,Spain,Female,33,9,0.0,1,0,1,183358.21,0
636,Germany,Male,49,6,113599.74,2,1,0,158887.09,1
627,Germany,Female,30,6,57809.32,1,1,0,188258.49,0
547,France,Male,43,1,92350.36,1,0,1,80262.91,0
586,France,Female,35,7,164769.02,3,1,0,119814.25,1
685,Spain,Male,40,7,74896.92,1,1,0,198694.2,0
706,France,Female,35,8,178032.53,1,0,1,42181.68,0
763,Germany,Female,61,1,66101.89,1,1,1,143981.27,0
689,Spain,Female,31,3,139799.63,1,0,1,120663.57,0
776,Spain,Male,30,6,0.0,2,0,1,63908.86,0
690,France,Female,42,3,92578.14,2,0,0,70810.6,0
544,France,Female,40,7,0.0,1,0,1,161076.92,0
529,France,Male,43,6,93616.35,2,0,0,98348.66,0
764,Germany,Male,28,10,124023.18,1,1,0,166188.28,0
689,Germany,Male,45,0,130170.82,2,1,0,150856.38,0
780,Germany,Female,37,10,95196.26,1,1,0,126310.39,1
492,France,Male,39,7,0.0,2,0,1,71323.23,0
722,France,Male,46,6,0.0,1,1,1,93917.68,1
583,France,Female,31,4,158978.79,1,1,0,12538.92,0
554,Spain,Female,34,8,0.0,1,0,1,106981.03,0
613,France,Male,20,3,0.0,2,1,1,149613.77,0
754,Germany,Male,35,6,98585.94,2,0,1,106116.84,0
567,Spain,Male,29,8,0.0,2,1,0,156125.72,0
785,France,Female,47,9,122031.55,1,1,1,33823.5,1
528,Spain,Male,36,7,0.0,2,1,0,60536.56,0
671,Spain,Female,34,5,130929.02,4,1,1,28238.25,1
660,France,Female,31,6,172325.67,1,0,1,45438.38,0
539,France,Male,20,0,83459.86,1,1,1,146752.67,0
629,Spain,Male,32,3,0.0,2,1,1,15404.64,0
650,Germany,Male,23,4,93911.3,2,1,0,69055.45,0
699,France,Male,39,2,109724.38,1,1,1,180022.39,0
651,France,Male,45,1,0.0,1,1,0,67740.08,1
614,Germany,Female,31,7,120599.38,2,1,1,46163.44,0
718,France,Female,39,3,0.0,2,1,1,145355.11,0
594,Spain,Female,49,2,126615.94,2,0,1,123214.74,0
716,France,Male,41,9,0.0,1,1,1,113267.48,0
618,Spain,Male,38,5,126473.99,1,1,0,91972.49,0
744,France,Male,29,1,43504.42,1,1,1,119327.75,0
683,France,Female,73,8,137732.23,2,1,1,133210.44,0
701,France,Male,29,2,0.0,2,1,0,176943.59,0
734,France,Male,30,3,0.0,2,1,0,107640.25,0
603,France,Female,39,9,76769.68,1,0,0,48224.72,0
847,France,Male,51,5,97565.74,1,0,0,144184.06,1
775,France,Male,42,6,133970.22,2,0,1,187839.9,0
645,Germany,Male,49,4,160133.88,1,0,1,88391.97,0
721,Germany,Female,45,7,138523.2,1,0,0,59604.45,1
562,France,Male,36,6,0.0,2,1,0,32845.32,0
754,Germany,Female,39,3,160761.41,1,1,1,24156.03,0
682,Germany,Female,38,1,116520.28,1,1,1,49833.5,1
560,France,Female,30,0,108883.29,1,1,0,27914.95,0
715,France,Male,35,2,141005.47,1,1,1,60407.93,0
679,France,Male,40,1,0.0,1,1,1,16897.19,0
515,France,Female,28,9,0.0,2,0,0,94141.75,0
524,France,Male,32,1,144875.71,1,0,0,187740.04,0
717,France,Female,36,5,0.0,2,1,1,145551.6,0
682,France,Female,37,8,148580.12,1,1,0,35179.18,0
616,France,Female,66,1,135842.41,1,1,0,183840.51,1
567,France,Male,36,7,0.0,2,0,1,3896.08,0
726,France,Female,44,2,0.0,2,1,1,26733.86,0
716,France,Female,29,6,0.0,2,1,1,98998.61,0
710,Germany,Male,34,9,134260.36,2,1,0,147074.67,0
481,France,Male,37,8,152303.66,2,1,1,175082.2,0
712,France,Female,32,1,0.0,2,1,0,1703.58,0
785,Spain,Female,31,2,121691.54,2,0,0,81778.72,0
466,Germany,Female,47,5,102085.72,1,1,1,183536.24,1
515,France,Male,41,8,0.0,2,1,1,185054.14,0
623,France,Female,35,5,0.0,2,1,0,101192.08,0
648,France,Female,39,6,130694.89,2,1,1,153955.38,1
825,France,Male,29,3,148874.01,2,0,1,71192.82,0
790,Germany,Female,34,2,164011.48,1,1,0,199420.41,0
625,Germany,Female,37,4,142711.81,1,1,0,35625.41,0
714,Germany,Female,55,9,180075.22,1,1,1,100127.71,0
690,Spain,Male,32,2,76087.98,1,0,1,151822.66,0
720,France,Female,45,1,102882.4,2,1,1,35633.15,1
619,Spain,Female,56,7,0.0,2,1,1,42442.21,0
590,Spain,Male,37,6,169902.92,1,1,1,128256.18,0
695,France,Female,23,1,0.0,2,1,1,141756.32,0
692,France,Male,30,2,0.0,2,0,1,130486.57,0
659,France,Male,32,9,95377.13,1,0,1,187551.24,0
718,France,Female,44,1,133866.22,1,0,1,139049.24,0
529,France,Male,42,1,157498.9,1,1,1,82276.62,0
469,Spain,Male,35,5,0.0,2,1,0,186490.37,0
838,Spain,Female,40,6,61671.19,1,0,1,150659.35,1
562,France,Male,62,3,0.0,2,1,0,105986.01,0
468,France,Male,46,7,91443.75,1,1,0,10958.18,0
520,France,Male,35,9,105387.89,1,1,1,25059.06,0
659,France,Female,49,1,0.0,1,1,0,116249.72,1
535,Spain,Female,49,7,115309.75,1,1,0,111421.77,0
752,France,Female,30,3,0.0,2,1,1,104991.28,0
533,France,Male,47,9,83347.25,1,1,1,137696.25,0
709,France,Male,42,9,118546.71,1,0,1,77142.85,0
728,France,Female,69,1,0.0,2,1,1,131804.86,0
651,France,Male,40,4,0.0,2,1,1,147715.83,0
582,France,Male,29,0,0.0,1,1,0,142516.35,0
744,Germany,Female,41,2,84113.41,1,1,0,197548.63,0
495,France,Male,30,10,129755.99,1,0,0,172749.65,0
760,Germany,Male,34,6,121303.77,2,1,1,59325.21,0
731,Germany,Male,35,2,127862.93,2,1,0,139083.7,0
747,Germany,Male,29,7,117726.33,1,1,1,175398.34,0
604,France,Female,71,2,0.0,2,1,1,49506.82,0
489,Germany,Female,46,8,92060.06,1,1,0,147222.95,1
625,France,Female,24,1,0.0,2,1,1,180969.55,0
792,Spain,Male,36,5,92140.15,1,0,1,67468.67,0
769,France,Male,48,2,96542.16,2,0,1,197885.72,0
612,Spain,Female,63,2,131629.17,2,1,0,122109.58,1
667,Spain,Male,56,2,168883.08,1,0,1,18897.78,0
624,Germany,Female,35,0,180303.24,2,1,0,163587.9,0
665,Spain,Female,40,1,173432.55,1,0,1,116766.79,0
589,Germany,Male,48,5,126111.61,1,0,1,133961.19,0
562,Spain,Female,35,0,0.0,2,1,0,119899.52,0
470,France,Male,35,1,96473.59,1,0,0,5962.3,0
508,France,Female,43,9,0.0,1,1,0,103726.71,0
547,Germany,Male,41,3,151191.31,1,1,0,175295.89,1
692,France,Male,66,4,159732.02,1,1,1,118188.15,0
755,France,Female,28,7,124540.28,1,0,1,188850.89,0
569,France,Male,41,4,120243.49,1,1,0,163150.03,1
781,Spain,Male,35,1,0.0,2,0,0,42117.9,0
576,Spain,Male,33,3,0.0,2,0,1,190112.05,0
639,Spain,Female,27,8,133806.54,2,1,0,6251.3,0
656,Spain,Female,40,10,167878.5,1,0,1,151887.16,0
624,Germany,Female,48,3,122388.38,2,0,0,30020.09,0
516,France,Female,37,8,113143.12,1,0,0,3363.36,0
703,Germany,Female,26,1,97331.19,1,1,0,63717.49,0
670,Germany,Female,40,2,147171.2,1,0,1,69850.04,0
624,Spain,Female,36,10,0.0,2,0,1,186180.42,0
754,France,Female,38,2,0.0,2,0,0,3524.69,0
850,Germany,Female,39,5,114491.82,1,1,0,99689.48,0
680,France,Female,34,1,0.0,2,1,0,167035.07,0
589,France,Male,36,1,100895.54,1,1,1,68075.14,0
531,Spain,Male,70,1,0.0,2,0,0,99503.19,0
729,France,Female,34,9,132121.71,1,0,1,105409.31,0
785,Germany,Female,38,9,107199.75,1,0,0,146398.51,0
746,France,Male,36,7,142400.77,1,1,1,193438.69,0
665,Germany,Female,43,2,116322.27,4,1,0,35640.12,1
731,Spain,Female,40,5,171325.98,1,1,1,159718.27,1
707,France,Female,58,3,102346.86,1,1,1,114672.64,0
595,France,Female,53,7,0.0,2,1,0,41371.68,1
803,France,Male,33,6,0.0,2,1,0,115676.61,0
469,Germany,Female,52,8,139493.25,3,0,0,150093.32,1
782,France,Female,70,7,97072.42,1,0,1,131177.22,0
787,France,Female,85,10,0.0,2,1,1,116537.96,0
660,Germany,Female,23,6,166070.48,2,0,0,90494.72,0
757,France,Male,28,3,75381.15,1,1,1,199727.72,0
639,Spain,Female,54,2,0.0,2,1,1,53843.71,0
484,France,Female,29,4,130114.39,1,1,0,164017.89,0
569,Spain,Male,43,8,161546.68,2,0,1,178187.28,0
660,France,Male,63,8,137841.53,1,1,1,42790.29,0
594,Germany,Male,28,5,185013.02,1,1,0,16481.12,0
735,France,Female,38,1,0.0,3,0,0,92220.12,1
650,Germany,Male,26,4,214346.96,2,1,0,128815.33,0
642,France,Male,36,4,0.0,2,1,1,195224.91,0
634,Germany,Male,43,3,212696.32,1,1,0,115268.86,0
629,France,Female,37,10,99546.25,3,0,1,25136.95,1
783,France,Female,72,5,121215.9,2,1,1,105206.48,0
789,Germany,Female,37,6,110689.07,1,1,1,71121.04,1
717,Spain,Male,35,1,0.0,3,0,0,174770.14,1
731,France,Male,31,1,132512.26,1,1,1,185466.85,0
592,France,Male,71,4,0.0,2,0,1,17013.54,0
569,Spain,Female,51,3,0.0,3,1,0,75084.96,1
763,Spain,Female,32,8,0.0,2,1,0,16725.53,0
608,Germany,Female,48,2,127924.25,2,1,0,32202.61,0
561,France,Female,27,9,135637.0,1,1,0,153080.4,1
708,France,Female,33,8,0.0,2,0,1,15246.83,0
757,Germany,Male,31,1,127320.36,3,1,0,163170.32,0
751,Germany,Male,34,9,108513.25,2,1,1,27097.82,0
729,France,Male,44,5,0.0,2,0,1,9200.54,0
625,Spain,Female,69,1,107569.96,1,1,1,182336.45,0
651,Spain,Female,45,10,135923.16,1,1,0,18732.84,0
698,Germany,Male,56,1,112414.81,2,0,0,93982.02,1
565,France,Male,38,5,0.0,2,0,1,80630.32,0
674,France,Male,46,2,174701.05,1,1,0,90189.72,1
650,Spain,Male,20,8,0.0,2,1,1,113469.65,0
698,Spain,Male,45,5,164450.94,1,1,0,141970.02,1
688,France,Female,32,6,123157.95,1,1,0,172531.23,0
713,France,Female,25,4,121172.97,1,1,1,56268.98,0
840,Spain,Female,36,6,0.0,2,1,0,141364.27,0
522,Germany,Female,25,5,94049.92,2,1,0,103269.0,0
703,France,Male,56,9,0.0,1,0,0,85547.33,1
643,France,Female,33,0,137811.75,1,1,1,184856.89,0
575,Spain,Female,22,8,105229.34,1,1,1,34397.08,0
651,Germany,Female,25,2,109175.14,2,1,0,114566.47,0
646,France,Male,18,10,0.0,2,0,1,52795.15,0
591,Spain,Male,29,1,97541.24,1,1,1,196356.17,0
602,Germany,Female,43,2,113641.49,4,1,0,115116.35,1
759,France,Female,33,9,160541.36,2,0,0,93541.14,0
716,Germany,Female,30,2,205770.78,2,0,0,65464.66,0
822,France,Male,38,6,128289.7,3,1,0,9149.96,1
733,Spain,Female,31,9,102289.85,1,1,1,115441.66,0
620,France,Male,32,7,0.0,2,1,1,34665.79,0
631,Germany,Male,48,1,106396.48,1,1,1,150661.42,1
499,Spain,Female,53,1,75225.53,2,0,0,144849.1,1
774,Germany,Male,42,2,132193.94,2,1,1,162865.52,0
609,Germany,Male,31,9,103837.75,1,1,1,150218.11,0
669,France,Male,25,1,157848.53,1,0,0,37543.93,1
718,France,Male,35,8,0.0,2,1,0,94820.85,0
503,Germany,Male,30,10,136622.55,2,0,0,47310.24,0
586,France,Male,51,2,138553.57,1,1,1,92406.22,0
643,Germany,Male,41,2,127841.52,1,1,0,172363.41,0
768,Germany,Female,47,5,104552.61,1,1,0,48137.08,1
850,Germany,Female,36,0,136980.23,2,1,1,99019.65,0
744,France,Female,39,6,0.0,1,0,0,10662.58,0
567,Spain,Female,41,1,0.0,2,1,0,3414.72,0
517,Spain,Male,46,4,0.0,1,1,0,22372.78,0
656,Germany,Male,68,7,153545.11,1,1,1,186574.68,0
625,Germany,Male,31,4,77743.01,2,1,0,75335.68,0
586,France,Female,46,0,0.0,3,0,1,131553.82,1
659,Germany,Male,39,8,52106.33,2,1,1,107964.36,0
561,France,Male,28,7,0.0,2,1,0,7797.01,0
718,Germany,Male,43,5,132615.73,2,1,0,32999.1,0
752,Spain,Female,31,4,144637.86,2,1,0,40496.72,0
813,France,Male,29,6,0.0,1,1,0,33953.87,0
613,Germany,Male,59,8,91415.76,1,0,0,27965.0,1
739,Germany,Male,32,3,102128.27,1,1,0,63981.37,1
838,Spain,Female,67,4,103267.8,1,1,1,78310.04,0
589,France,Male,37,5,0.0,1,1,0,61324.87,0
583,France,Male,51,6,125268.03,2,1,0,165082.25,0
662,Spain,Male,37,4,155187.3,1,1,0,48930.8,0
619,France,Female,30,7,70729.17,1,1,1,160948.87,0
702,France,Male,50,3,0.0,2,0,0,94949.84,0
768,France,Male,30,6,0.0,2,1,1,199454.37,0
630,Germany,Female,34,9,106937.05,2,1,0,138275.01,0
718,France,Female,43,0,93143.39,1,1,0,167554.86,0
562,Germany,Male,31,4,127237.25,2,0,1,143317.42,0
655,France,Female,26,7,106198.5,1,0,1,32020.42,0
670,France,Male,37,4,170557.91,2,1,0,198252.88,0
848,Spain,Male,22,7,120811.89,1,1,1,185510.34,0
699,France,Male,28,7,0.0,2,1,1,22684.78,0
583,France,Male,48,3,91246.53,1,1,0,60017.46,1
590,France,Male,39,9,0.0,2,1,1,104730.52,0
637,France,Male,27,9,128940.24,1,1,0,46786.92,0
749,France,Female,27,9,0.0,2,1,0,132734.87,0
601,Germany,Female,42,9,133636.16,1,0,1,103315.74,0
637,Spain,Female,22,5,98800.0,1,1,0,122865.55,0
526,France,Female,36,0,0.0,2,1,0,97767.63,0
535,France,Male,38,2,119272.29,1,0,0,195896.59,1
540,Spain,Male,37,0,120825.7,1,1,0,28257.89,0
733,France,Male,64,3,0.0,2,1,1,75272.63,0
516,Spain,Female,45,8,109044.3,1,0,1,115818.16,0
615,France,Male,49,3,0.0,2,1,1,49872.33,0
695,Spain,Female,34,9,0.0,2,1,1,67502.12,0
850,France,Male,56,7,131317.48,1,1,1,119175.45,0
818,France,Female,31,1,186796.37,1,0,0,178252.63,0
724,Spain,Male,45,5,83888.54,1,0,1,34121.81,0
640,France,Male,44,3,137148.68,1,1,0,92381.01,0
748,Spain,Male,35,5,105492.53,1,1,1,150057.2,0
724,France,Female,32,6,0.0,2,1,1,150026.79,0
577,Spain,Male,43,8,79757.21,1,1,0,135650.72,1
684,Spain,Female,36,5,174180.39,1,1,0,119830.08,0
669,Spain,Male,22,10,0.0,2,1,0,176163.74,0
715,France,Male,32,8,175307.32,1,1,0,187051.23,0
640,Germany,Male,39,9,131607.28,4,0,1,6981.43,1
485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0
698,France,Male,31,1,156111.24,1,0,0,134790.74,0
432,Germany,Male,38,2,135559.8,2,1,1,71856.3,0
632,France,Male,42,4,126115.6,1,1,0,100998.5,0
626,France,Male,21,1,0.0,2,1,0,66232.23,0
576,France,Male,39,1,0.0,2,1,1,68814.23,0
805,Germany,Male,56,6,151802.29,1,1,0,46791.09,1
751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1
835,Germany,Male,18,2,142872.36,1,1,1,117632.63,0
663,Spain,Male,52,0,136298.65,1,1,0,144593.3,1
571,Germany,Female,34,1,101736.66,1,0,1,195651.66,0
655,France,Female,32,2,0.0,1,1,1,71047.51,0
758,France,Male,35,7,0.0,2,1,0,77951.84,0
769,France,Female,26,7,0.0,2,1,0,176843.53,0
774,Germany,Male,34,4,120875.23,2,0,1,113407.26,0
466,France,Male,26,9,105522.06,1,1,0,10842.46,0
710,Spain,Female,38,4,0.0,2,1,1,136390.88,0
760,Germany,Male,29,5,103607.24,2,0,1,86334.64,0
621,Spain,Male,50,3,163085.79,1,0,1,131048.36,0
751,France,Female,44,10,0.0,2,1,0,170634.49,0
570,Germany,Male,29,4,122028.65,2,1,1,173792.77,0
594,France,Female,30,10,0.0,2,1,1,124071.71,0
660,Spain,Female,36,0,84438.57,1,1,1,181449.51,0
715,France,Male,45,4,0.0,2,1,1,55043.93,0
690,Germany,Male,32,0,106683.52,2,1,1,137916.49,0
704,Germany,Male,27,5,147004.34,1,1,0,64381.33,1
669,Spain,Male,51,3,88827.53,1,0,0,85250.77,1
709,France,Male,38,5,0.0,2,1,1,81452.29,0
663,Germany,Male,44,2,117028.6,2,0,1,144680.18,0
785,France,Female,40,3,0.0,2,1,1,96832.82,0
731,Spain,Female,39,2,126816.18,1,1,1,74850.93,0
634,Germany,Female,56,3,116251.24,1,0,1,42429.88,1
471,France,Female,27,4,0.0,2,1,0,122642.09,0
814,Germany,Male,44,8,95488.82,2,0,0,107013.59,0
528,Germany,Female,62,7,133201.17,1,0,0,168507.68,1
561,Germany,Male,49,5,94754.0,1,1,1,26691.31,0
654,France,Male,38,8,0.0,2,1,0,88659.44,0
756,Spain,Male,38,6,119208.85,1,1,0,169763.89,1
700,Spain,Male,29,8,0.0,2,0,1,152097.02,0
604,France,Female,40,1,0.0,2,1,0,123207.17,0
532,France,Male,43,9,0.0,2,0,0,190573.91,1
617,France,Female,35,5,0.0,2,0,1,13066.3,0
779,Germany,Male,33,1,158456.76,1,1,1,197000.92,1
686,Germany,Male,43,2,134896.03,1,1,1,97847.05,0
731,France,Male,19,6,0.0,2,1,1,151581.79,0
544,Spain,Female,53,9,0.0,1,1,0,125692.07,1
751,France,Male,30,3,165257.2,1,0,0,134822.05,0
451,France,Male,33,6,0.0,2,1,0,184954.11,0
693,France,Male,68,2,0.0,2,1,1,59864.96,0
612,France,Female,38,7,110615.47,1,1,1,193502.93,0
498,France,Male,46,1,91857.66,1,1,0,101954.78,1
681,France,Female,79,0,0.0,2,0,1,170968.99,0
584,France,Male,49,8,172713.44,1,1,0,113860.81,0
651,Spain,Male,38,2,0.0,3,1,0,67029.82,1
717,France,Female,28,1,90537.16,1,0,1,74800.99,0
697,France,Male,35,5,133087.76,1,1,0,64771.61,0
656,France,Male,37,2,0.0,2,0,1,67840.81,0
585,France,Female,43,2,0.0,2,1,0,89402.54,0
671,Spain,Female,34,10,0.0,1,1,0,23235.38,0
727,Spain,Male,71,8,0.0,1,1,1,198446.91,1
788,France,Male,55,3,0.0,1,0,1,13288.46,1
673,Spain,Female,32,0,0.0,1,1,1,72873.33,0
727,Spain,Female,41,10,0.0,2,0,1,47468.56,0
539,Spain,Female,37,1,130922.81,2,0,0,2186.83,0
545,France,Male,30,3,0.0,2,1,0,170307.43,0
646,France,Male,30,5,98014.74,1,1,1,12757.14,0
590,Spain,Female,23,7,0.0,2,1,0,196789.9,0
584,Germany,Male,47,7,130538.77,1,1,0,92915.84,0
715,France,Female,32,10,0.0,2,1,0,60907.49,0
712,France,Male,36,2,100749.5,3,0,0,70758.37,1
678,Germany,Male,36,3,145747.67,2,0,1,89566.74,0
510,France,Female,32,1,0.0,2,0,1,28515.17,0
749,Germany,Female,29,7,137059.05,3,1,0,102975.72,1
573,Germany,Male,35,9,134498.54,2,1,1,119924.8,0
651,Germany,Male,40,1,134760.21,2,0,0,174434.06,1
708,Spain,Female,64,5,0.0,3,0,1,112520.07,1
743,France,Male,36,4,0.0,2,1,1,190911.02,0
